year,category,count,percentage
1949,中立,15,55.5556
1949,积极,12,44.4444
1950,中立,15,45.4545
1950,积极,18,54.5455
1951,中立,1,8.3333
1951,积极,11,91.6667
1952,中立,9,12.1622
1952,消极,7,9.4595
1952,积极,58,78.3784
1953,中立,2,10.0
1953,消极,3,15.0
1953,积极,15,75.0
1954,消极,2,12.5
1954,积极,14,87.5
1955,中立,2,18.1818
1955,消极,1,9.0909
1955,积极,8,72.7273
1956,中立,5,41.6667
1956,积极,7,58.3333
1957,中立,4,8.3333
1957,消极,1,2.0833
1957,积极,43,89.5833
1958,中立,6,3.2258
1958,消极,3,1.6129
1958,积极,177,95.1613
1959,中立,4,5.5556
1959,积极,68,94.4444
1960,中立,1,1.2821
1960,积极,77,98.7179
1961,中立,2,9.0909
1961,积极,20,90.9091
1962,中立,4,40.0
1962,积极,6,60.0
1963,中立,9,50.0
1963,积极,9,50.0
1964,中立,7,46.6667
1964,积极,8,53.3333
1965,积极,11,100.0
1966,积极,2,100.0
1968,积极,1,100.0
1969,消极,2,16.6667
1969,积极,10,83.3333
1970,消极,1,8.3333
1970,积极,11,91.6667
1971,消极,1,11.1111
1971,积极,8,88.8889
1972,中立,4,16.0
1972,消极,4,16.0
1972,积极,17,68.0
1973,中立,8,34.7826
1973,消极,2,8.6957
1973,积极,13,56.5217
1974,中立,6,23.0769
1974,消极,1,3.8462
1974,积极,19,73.0769
1976,积极,2,100.0
1977,积极,1,100.0
1978,中立,3,60.0
1978,积极,2,40.0
1979,中立,5,62.5
1979,积极,3,37.5
1980,中立,8,40.0
1980,消极,3,15.0
1980,积极,9,45.0
1981,中立,7,50.0
1981,积极,7,50.0
1982,中立,7,50.0
1982,消极,1,7.1429
1982,积极,6,42.8571
1983,中立,3,27.2727
1983,消极,1,9.0909
1983,积极,7,63.6364
1984,中立,6,35.2941
1984,积极,11,64.7059
1985,中立,11,73.3333
1985,积极,4,26.6667
1986,中立,4,33.3333
1986,消极,1,8.3333
1986,积极,7,58.3333
1987,中立,7,38.8889
1987,消极,3,16.6667
1987,积极,8,44.4444
1988,中立,8,36.3636
1988,消极,7,31.8182
1988,积极,7,31.8182
1989,中立,29,70.7317
1989,积极,12,29.2683
1990,中立,12,32.4324
1990,消极,5,13.5135
1990,积极,20,54.0541
1991,中立,12,35.2941
1991,消极,3,8.8235
1991,积极,19,55.8824
1992,中立,15,30.0
1992,消极,1,2.0
1992,积极,34,68.0
1993,中立,9,34.6154
1993,积极,17,65.3846
1994,中立,7,26.9231
1994,消极,3,11.5385
1994,积极,16,61.5385
1995,中立,16,32.6531
1995,消极,1,2.0408
1995,积极,32,65.3061
1996,中立,18,27.2727
1996,消极,4,6.0606
1996,积极,44,66.6667
1997,中立,20,24.3902
1997,消极,5,6.0976
1997,积极,57,69.5122
1998,中立,29,27.8846
1998,消极,6,5.7692
1998,积极,69,66.3462
1999,中立,27,21.6
1999,消极,3,2.4
1999,积极,95,76.0
2000,中立,26,23.8532
2000,消极,9,8.2569
2000,积极,74,67.8899
2001,中立,27,17.3077
2001,消极,15,9.6154
2001,积极,114,73.0769
2002,中立,28,19.3103
2002,消极,6,4.1379
2002,积极,111,76.5517
2003,中立,58,25.5507
2003,消极,8,3.5242
2003,积极,161,70.9251
2004,中立,86,29.4521
2004,消极,14,4.7945
2004,积极,192,65.7534
2005,中立,65,20.4403
2005,消极,5,1.5723
2005,积极,248,77.9874
2006,中立,81,24.5455
2006,消极,12,3.6364
2006,积极,237,71.8182
2007,中立,87,20.0
2007,消极,12,2.7586
2007,积极,336,77.2414
2008,中立,47,15.5116
2008,消极,1,0.33
2008,积极,255,84.1584
2009,中立,70,18.2768
2009,消极,1,0.2611
2009,积极,312,81.4621
2010,中立,108,17.3355
2010,消极,4,0.6421
2010,积极,511,82.0225
2011,中立,77,17.8654
2011,消极,10,2.3202
2011,积极,344,79.8144
2012,中立,75,14.9701
2012,消极,5,0.998
2012,积极,421,84.0319
2013,中立,174,26.7281
2013,消极,16,2.4578
2013,积极,461,70.8141
2014,中立,157,25.4045
2014,消极,6,0.9709
2014,积极,455,73.6246
2015,中立,135,18.4932
2015,消极,7,0.9589
2015,积极,588,80.5479
2016,中立,111,15.4812
2016,消极,5,0.6974
2016,积极,601,83.8215
2017,中立,103,13.6063
2017,消极,8,1.0568
2017,积极,646,85.3369
2018,中立,103,12.2183
2018,消极,8,0.949
2018,积极,732,86.8327
2019,中立,45,8.2418
2019,消极,1,0.1832
2019,积极,500,91.5751
2020,中立,40,6.8611
2020,消极,4,0.6861
2020,积极,539,92.4528
2021,中立,66,6.7485
2021,积极,912,93.2515
2022,中立,32,3.4896
2022,消极,3,0.3272
2022,积极,882,96.1832
2023,中立,52,5.4507
2023,消极,10,1.0482
2023,积极,892,93.501
2024,中立,49,4.8276
2024,消极,3,0.2956
2024,积极,963,94.8768
